id, delay, timestamp
2147483649,80,1621714773957240909
2147483650,17,1621714778443737787
2147483651,16,1621714783734013610
2147483652,32,1621714786943827762
2147483653,80,1621714787900576398
2147483654,31,1621714788603984203
2147483655,80,1621714791168457950
2147483656,16,1621714795895236178
2147483657,80,1621714797529212730
2147483658,16,1621714798652052218
2147483659,112,1621714800457251915
2147483660,115,1621714803295659135
2147483661,108,1621714804376131441
2147483662,130,1621714804701945986
2147483663,81,1621714812450703204
2147483664,46,1621714815274013517
2147483665,108,1621714821545125011
2147483666,82,1621714825384804060
2147483667,248,1621714830457330472
2147483668,15,1621714833284053223
2147483669,139,1621714835324605268
2147483670,139,1621714838109902448
2147483671,79,1621714839344517992
2147483672,280,1621714840490170830
2147483673,77,1621714842254922467
2147483674,234,1621714855843442180
2147483675,135,1621714877591348655
2147483676,31,1621714877888539679
2147483677,80,1621714880595516531
2147483678,139,1621714882160784965
2147483679,77,1621714884392413320
2147483680,186,1621714892104292873
2147483681,105,1621714893196493067
